#voltaje, posicion, velocidad
-4.908180300500835, -63216929.0, -7.8125
-4.883138564273789, -63278161.0, -7.662835
-4.858096828046744, -63338445.0, -7.490637
-4.8330550918197, -63398281.0, -7.272727
-4.808013355592655, -63457164.0, -7.407407
-4.782971619365609, -63515829.0, -7.272727
-4.757929883138564, -63573673.0, -7.142857
-4.7328881469115185, -63630932.0, -7.142857
-4.707846410684473, -63687321.0, -7.042253
-4.682804674457429, -63743236.0, -7.117438
-4.657762938230384, -63801488.0, -7.117438
-4.632721202003339, -63859412.0, -7.220217
-4.607679465776293, -63916525.0, -7.092198
-4.582637729549248, -63973736.0, -7.142857
-4.557595993322204, -64030096.0, -7.142857
-4.532554257095159, -64086157.0, -7.142857
-4.507512520868113, -64141425.0, -6.872852
-4.482470784641068, -64196584.0, -6.944445
-4.457429048414022, -64251352.0, -6.734007
-4.432387312186979, -64305444.0, -6.779661
-4.407345575959933, -64359065.0, -6.644518
-4.382303839732888, -64412028.0, -6.688963
-4.3572621035058425, -64464713.0, -6.514658
-4.332220367278797, -64516521.0, -6.666667
-4.3071786310517535, -64568289.0, -6.410256
-4.282136894824708, -64619484.0, -6.329114
-4.257095158597663, -64670333.0, -6.389776
-4.232053422370617, -64720621.0, -6.329114
-4.207011686143572, -64770585.0, -6.329114
-4.181969949916528, -64820101.0, -6.153846
-4.156928213689483, -64869160.0, -6.19195
-4.131886477462437, -64917828.0, -6.116208
-4.106844741235392, -64966005.0, -5.970149
-4.0818030050083465, -65013748.0, -5.747127
-4.056761268781301, -65060492.0, -5.970149
-4.031719532554257, -65107233.0, -6.042296
-4.006677796327212, -65153269.0, -5.813953
-3.9816360601001666, -65199029.0, -5.747127
-3.956594323873121, -65244249.0, -5.665722
-3.9315525876460757, -65289149.0, -5.494505
-3.906510851419032, -65333317.0, -5.494505
-3.8814691151919867, -65377129.0, -5.555555
-3.8564273789649413, -65420616.0, -5.376344
-3.831385642737896, -65462381.0, -5.235602
-3.8063439065108504, -65503589.0, -5.291005
-3.7813021702838068, -65545301.0, -5.025126
-3.7562604340567614, -65586157.0, -5.221932
-3.731218697829716, -65626792.0, -5.012531
-3.7061769616026705, -65667245.0, -5.102041
-3.681135225375625, -65707097.0, -4.975124
-3.6560934891485815, -65746624.0, -4.889976
-3.631051752921536, -65785581.0, -4.739336
-3.6060100166944906, -65823960.0, -4.854369
-3.580968280467445, -65861805.0, -4.750594
-3.5559265442404, -65899201.0, -4.618937
-3.530884808013356, -65936392.0, -4.694836
-3.5058430717863107, -65973265.0, -4.494382
-3.4808013355592653, -66009457.0, -4.454343
-3.45575959933222, -66045205.0, -4.484305
-3.4307178631051745, -66080564.0, -4.385965
-3.405676126878131, -66115457.0, -4.424779
-3.3806343906510854, -66149937.0, -4.273504
-3.35559265442404, -66184005.0, -4.184101
-3.3305509181969946, -66217565.0, -3.992016
-3.305509181969949, -66250516.0, -4.024145
-3.2804674457429037, -66283057.0, -4.040404
-3.25542570951586, -66315056.0, -3.937008
-3.2303839732888147, -66346756.0, -3.929273
-3.2053422370617692, -66378000.0, -3.745318
-3.180300500834724, -66408788.0, -3.802281
-3.1552587646076784, -66439197.0, -3.731343
-3.1302170283806348, -66469233.0, -3.696858
-3.1051752921535893, -66498621.0, -3.745318
-3.080133555926544, -66527509.0, -3.802281
